"department","sub_department","department_id","category","sub_category","micro_category","title","description","skill_code","related_skills","bussiness_links","custom_tags","proficiency_level","job_titles","learning_resources","assesment_method","certification_qualifications","experience_project","skill_maps","skill_status","skill_importance","legal_compliance_relevance","sop_practice_link","performance_metrics","common_errors_tips","sme_contacts","sub_skills","skill_flow","tasklist","status","approve_status","sub_institute_id","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at"
"Business Valuation","Business Valuation","839","Leadership & Management Skills","Business Planning","Business Management","Business Planning","Design and formulate business plans to achieve business goals","ACC-SBM-4002-1.1","[""Strategic Planning"",""Goal Setting"",""Plan Formulation""]","https://en.wikipedia.org/wiki/Business_plan","[""Business Planning"",""Strategic Goals"",""Plan Development""]","4",,,"Business Plans,Strategic Reviews","MBA,Business Courses","Designing business plans,Strategic goals",,"High-demand","Medium","Corporate and regulatory planning requirements","https://www.sba.gov/business-guide/plan-your-business/write-your-business-plan","Plan Quality,Goal Achievement","Unrealistic goals,Poor resource planning","Strategy Manager,Business Planner","Objective Setting,Plan Drafting","Set objectives,Develop plan,Implement,Review","Define goals,Create business plan,Execute","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Financial Accounting","Financial Accounting","841","Leadership & Management Skills","Process Management","Business Management","Business Process Management","Manage and optimise an organisation's business processes for efficiency and effectiveness","ACC-SBM-5003-1.1","[""Process Optimization"",""Efficiency Management"",""Operational Effectiveness""]","https://en.wikipedia.org/wiki/Business_process_management","[""Process Management"",""Optimization"",""Efficiency""]","4",,,"Process Improvement Projects","BPM Certification,Lean Six Sigma","Managing business processes for efficiency",,"High-demand","Medium","Quality and operational standards apply","https://www.abpmp.org/","Process Efficiency,Cost Reduction","Inefficient processes,Poor monitoring","Operations Manager,Process Owner","Process Design,Monitoring","Design processes,Implement,Monitor,Improve","Map processes,Set metrics,Monitor performance","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Restructuring and Insolvency","Restructuring and Insolvency","847","Digital & Data Skills","Data Visualization","Digital and Data Management","Data Storytelling and Visualisation","Combine data insights, dynamic visual displays with illustrative and interactive graphics and narrative representative formats to present patterns, trends, meaning, messages and analytical insights from data or new concepts in a strategic manner","ACC-DAT-3020-1.1","[""Data Visualization"",""Insight Presentation"",""Interactive Graphics""]","https://en.wikipedia.org/wiki/Data_visualization","[""Data Storytelling"",""Visualization"",""Interactive Graphics""]","4",,,"Visualization Projects,Reports","Tableau Certification,Data Visualization Courses","Creating data visualizations,Presenting insights",,"Emerging","Medium","Data privacy and representation ethics","https://www.tableau.com/","Visual Clarity,Insight Effectiveness","Misleading visuals,Poor narrative","Data Analyst,Visualization Specialist","Data Analysis,Visual Design","Analyze data,Design visuals,Narrate story","Create charts,Design dashboards,Present insights","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Financial Forensics","Financial Forensics","843","Digital & Data Skills","Digital Forensics","Digital and Data Management","Digital Forensics","Use forensic technologies in the delivery of forensic services","ACC-DAT-3022-1.1","[""Forensic Technology"",""Digital Evidence"",""Investigation Tools""]","https://en.wikipedia.org/wiki/Digital_forensics","[""Digital Forensics"",""Technology Investigation"",""Evidence Handling""]","4",,,"Forensic Exercises,Case Studies","Certified Digital Forensics Examiner","Using forensic technologies in investigations",,"High-demand","High","Evidence Act and IT Act compliance","https://www.ecouncil.org/","Evidence Integrity,Investigation Success","Contamination of evidence,Poor tool usage","Forensic Analyst,Cyber Expert","Evidence Collection,Analysis","Secure evidence,Analyze data,Report findings","Collect digital evidence,Analyze devices,Prepare reports","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Financial Forensics","Financial Forensics","843","Digital & Data Skills","Data Analytics","Digital and Data Management","Forensic Data Analytics","Interpret and analyse data using statistical techniques to uncover trends and patterns in finance and accounting documentation which are indicative of fraudulent activities","ACC-DAT-3023-1.1","[""Statistical Analysis"",""Fraud Detection"",""Pattern Recognition""]","https://en.wikipedia.org/wiki/Forensic_accounting","[""Forensic Analytics"",""Statistical Analysis"",""Fraud Detection""]","4",,,"Data Analysis Projects,Case Studies","Certified Fraud Examiner,Data Analytics Courses","Analyzing data for fraud patterns",,"High-demand","High","Legal standards for evidence and analysis","https://www.acfe.com/","Detection Rate,Analysis Accuracy","Incorrect patterns,Poor data handling","Forensic Accountant,Data Analyst","Data Mining,Pattern Recognition","Collect data,Apply statistics,Identify patterns,Report","Analyze transactions,Identify anomalies,Report fraud","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Assurance","Assurance","838","Digital & Data Skills","Programming","Digital and Data Management","Programming and Coding","Develop technical capabilities to understand, design and write instructions to be processed by computers as software programmes to achieve desired outcomes","ACC-DIT-2018-1.1-1","[""Software Development"",""Coding"",""Algorithm Design""]","https://en.wikipedia.org/wiki/Computer_programming","[""Programming"",""Coding"",""Software Development""]","3",,,"Coding Tests,Projects","Python Certification,Java Courses","Developing software programs,Writing code",,"High-demand","Medium","IT Act and software licensing regulations","https://www.python.org/","Code Quality,Functionality","Syntax errors,Poor logic","Software Developer,Programmer","Coding,Testing,Debugging","Write code,Test,Debug,Deploy","Develop algorithms,Write code,Test software","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Financial Accounting","Financial Accounting","841","Digital & Data Skills","Systems Implementation","Digital and Data Management","Accounting and Tax Systems","Implement accounting or tax software systems in the organisation","ACC-ICT-2001-1.1","[""Software Implementation"",""System Integration"",""Accounting Systems""]","https://en.wikipedia.org/wiki/Accounting_software","[""Accounting Systems"",""Software Implementation"",""Tax Systems""]","3",,,"System Implementation Projects","SAP Certification,Accounting Software Training","Implementing accounting software in organizations",,"High-demand","High","Compliance with accounting and tax laws","https://www.sap.com/","System Efficiency,Compliance Rate","Poor configuration,Data migration issues","IT Consultant,Accountant","Requirement Analysis,Implementation","Assess needs,Select software,Implement,Train","Configure software,Migrate data,Train users","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Assurance","Assurance","838","Digital & Data Skills","Cyber Security","Digital and Data Management","Cyber Security","Develop awareness of cyber security threats","ACC-ICT-3002-1.1","[""Threat Awareness"",""Security Protocols"",""Cyber Risk""]","https://en.wikipedia.org/wiki/Cybersecurity","[""Cyber Security"",""Threat Awareness"",""Risk Management""]","3",,,"Security Quizzes,Drills","CISSP,CEH","Developing cyber security awareness programs",,"High-demand","High","IT Act and cyber security regulations apply","https://www.isaca.org/","Security Incident Rate,Awareness Level","Ignoring threats,Poor practices","Cyber Security Analyst,Security Officer","Threat Identification,Prevention","Identify threats,Implement controls,Educate users","Conduct training,Implement security measures","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Assurance","Assurance","838","Digital & Data Skills","Data Analytics","Digital and Data Management","Data Analytics","Apply data extraction and analytic methods to analyse and evaluate financial and non-financial information and provide business intelligence","ACC-ICT-3003-1.1","[""Data Extraction"",""Business Intelligence"",""Information Analysis""]","https://en.wikipedia.org/wiki/Data_analysis","[""Data Analytics"",""Business Intelligence"",""Data Extraction""]","4",,,"Analysis Projects,Reports","Data Analytics Certification,Tableau","Analyzing financial and non-financial data",,"High-demand","Medium","Data privacy and protection laws apply","https://www.tableau.com/","Insight Quality,Decision Support","Poor data quality,Incorrect analysis","Data Analyst,Business Intelligence Analyst","Data Collection,Analysis,Visualization","Gather data,Clean data,Analyze,Report","Extract data,Perform analysis,Create reports","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Enterprise Risk Management","Enterprise Risk Management","840","Digital & Data Skills","Digital Innovation","Digital and Data Management","Digital Technology Adoption and Innovation","Develop digital technology enhancement projects to support the organisational objectives","ACC-ICT-3004-1.1","[""Technology Innovation"",""Digital Transformation"",""Project Management""]","https://en.wikipedia.org/wiki/Digital_transformation","[""Digital Innovation"",""Technology Adoption"",""Transformation""]","4",,,"Innovation Projects,Case Studies","Digital Transformation Certifications","Leading digital technology projects",,"Emerging","Medium","IT and data protection regulations apply","https://www.gartner.com/en/information-technology/insights/digital-transformation","Innovation Success,Adoption Rate","Resistance to change,Poor planning","IT Manager,Innovation Lead","Technology Assessment,Implementation","Evaluate tech,Plan adoption,Implement,Review","Research technologies,Plan projects,Implement solutions","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Assurance","Assurance","838","Digital & Data Skills","Technology Scanning","Digital and Data Management","Digital Technology Environment Scanning","Evaluate the digital technology environment and the impact of digital technology development","ACC-ICT-3005-1.1","[""Technology Trends"",""Impact Evaluation"",""Digital Landscape""]","https://en.wikipedia.org/wiki/Environmental_scanning","[""Technology Scanning"",""Trend Analysis"",""Impact Assessment""]","4",,,"Trend Reports,Analysis","Technology Management Courses","Evaluating digital technology developments",,"Emerging","Medium","Understanding regulatory impacts of technology","https://www.gartner.com/","Trend Accuracy,Strategic Insight","Ignoring trends,Biased evaluation","Technology Analyst,Strategy Planner","Research,Analysis,Reporting","Scan environment,Analyze trends,Assess impact","Monitor tech trends,Evaluate impacts,Recommend","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Financial Forensics","Financial Forensics","843","Digital & Data Skills","Evidence Management","Digital and Data Management","Evidence Management","Employ forensic research methodologies to collect and manage data","ACC-LGL-3003-1.1","[""Forensic Research"",""Data Collection"",""Data Management""]","https://en.wikipedia.org/wiki/Evidence_management","[""Evidence Management"",""Data Collection"",""Forensic Methods""]","4",,,"Evidence Handling Exercises","Forensic Certifications","Collecting and managing forensic data",,"High-demand","High","Evidence Act and legal standards apply","https://www.nist.gov/","Evidence Integrity,Chain of Custody","Contamination,Poor documentation","Forensic Expert,Legal Consultant","Collection,Documentation,Storage","Collect evidence,Document,Store securely","Gather evidence,Maintain logs,Store evidence","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
